INFO:run:CONFIGURATION: {
  "weight_decay": 0.01, 
  "nlayers": 6, 
  "clip": 0.5, 
  "emsize": 50, 
  "nhid": 50, 
  "batch_size": 20, 
  "results": "results/20170329-104931-01.txt", 
  "epochs": 20, 
  "logfile": "logs/20170329-104931-01.txt", 
  "seed": 1111, 
  "lr": 0.0001, 
  "log_interval": 20, 
  "experiment_id": "20170329-104931-01", 
  "sequence_length": 20, 
  "model": "LSTM", 
  "save": "models/20170329-104931-01.pt", 
  "data": "./data/penn", 
  "momentum": 0.05
}
INFO:run:rng state: 
  87
   4
   0
 ⋮  
   0
   0
   0
[torch.ByteTensor of size 5048]

INFO:run:| epoch   1 |    20/ 2323 batches | lr 0.00 | ms/batch 145.86 | loss  9.67 | ppl 15830.75
INFO:run:| epoch   1 |    40/ 2323 batches | lr 0.00 | ms/batch 136.44 | loss  9.21 | ppl  9966.33
INFO:run:| epoch   1 |    60/ 2323 batches | lr 0.00 | ms/batch 136.87 | loss  9.20 | ppl  9944.69
INFO:run:| epoch   1 |    80/ 2323 batches | lr 0.00 | ms/batch 143.62 | loss  9.20 | ppl  9924.21
INFO:run:| epoch   1 |   100/ 2323 batches | lr 0.00 | ms/batch 140.57 | loss  9.20 | ppl  9904.27
INFO:run:| epoch   1 |   120/ 2323 batches | lr 0.00 | ms/batch 137.42 | loss  9.20 | ppl  9881.31
INFO:run:| epoch   1 |   140/ 2323 batches | lr 0.00 | ms/batch 136.39 | loss  9.20 | ppl  9853.63
INFO:run:| epoch   1 |   160/ 2323 batches | lr 0.00 | ms/batch 137.08 | loss  9.18 | ppl  9699.30
INFO:run:| epoch   1 |   180/ 2323 batches | lr 0.00 | ms/batch 137.77 | loss  8.93 | ppl  7581.26
INFO:run:| epoch   1 |   200/ 2323 batches | lr 0.00 | ms/batch 137.27 | loss  8.49 | ppl  4846.43
INFO:run:| epoch   1 |   220/ 2323 batches | lr 0.00 | ms/batch 136.28 | loss  8.20 | ppl  3658.49
INFO:run:| epoch   1 |   240/ 2323 batches | lr 0.00 | ms/batch 136.66 | loss  8.02 | ppl  3031.42
INFO:run:| epoch   1 |   260/ 2323 batches | lr 0.00 | ms/batch 137.86 | loss  7.87 | ppl  2619.29
INFO:run:| epoch   1 |   280/ 2323 batches | lr 0.00 | ms/batch 137.23 | loss  7.75 | ppl  2317.39
INFO:run:| epoch   1 |   300/ 2323 batches | lr 0.00 | ms/batch 136.68 | loss  7.66 | ppl  2120.26
INFO:run:| epoch   1 |   320/ 2323 batches | lr 0.00 | ms/batch 135.69 | loss  7.59 | ppl  1985.82
INFO:run:| epoch   1 |   340/ 2323 batches | lr 0.00 | ms/batch 140.13 | loss  7.46 | ppl  1744.70
INFO:run:| epoch   1 |   360/ 2323 batches | lr 0.00 | ms/batch 141.46 | loss  7.39 | ppl  1613.67
INFO:run:| epoch   1 |   380/ 2323 batches | lr 0.00 | ms/batch 137.66 | loss  7.33 | ppl  1531.84
INFO:run:| epoch   1 |   400/ 2323 batches | lr 0.00 | ms/batch 137.26 | loss  7.25 | ppl  1408.67
INFO:run:| epoch   1 |   420/ 2323 batches | lr 0.00 | ms/batch 137.78 | loss  7.21 | ppl  1348.17
INFO:run:| epoch   1 |   440/ 2323 batches | lr 0.00 | ms/batch 137.74 | loss  7.19 | ppl  1327.97
INFO:run:| epoch   1 |   460/ 2323 batches | lr 0.00 | ms/batch 136.51 | loss  7.15 | ppl  1271.70
INFO:run:| epoch   1 |   480/ 2323 batches | lr 0.00 | ms/batch 137.17 | loss  7.11 | ppl  1228.17
INFO:run:| epoch   1 |   500/ 2323 batches | lr 0.00 | ms/batch 138.54 | loss  7.03 | ppl  1134.27
INFO:run:| epoch   1 |   520/ 2323 batches | lr 0.00 | ms/batch 137.20 | loss  6.97 | ppl  1061.17
INFO:run:| epoch   1 |   540/ 2323 batches | lr 0.00 | ms/batch 137.12 | loss  6.92 | ppl  1015.62
INFO:run:| epoch   1 |   560/ 2323 batches | lr 0.00 | ms/batch 136.68 | loss  6.82 | ppl   914.24
INFO:run:| epoch   1 |   580/ 2323 batches | lr 0.00 | ms/batch 137.70 | loss  6.88 | ppl   974.49
INFO:run:| epoch   1 |   600/ 2323 batches | lr 0.00 | ms/batch 139.63 | loss  6.95 | ppl  1040.99
INFO:run:| epoch   1 |   620/ 2323 batches | lr 0.00 | ms/batch 142.48 | loss  6.96 | ppl  1054.22
INFO:run:| epoch   1 |   640/ 2323 batches | lr 0.00 | ms/batch 139.89 | loss  6.80 | ppl   902.08
INFO:run:| epoch   1 |   660/ 2323 batches | lr 0.00 | ms/batch 138.57 | loss  6.85 | ppl   944.07
INFO:run:| epoch   1 |   680/ 2323 batches | lr 0.00 | ms/batch 137.17 | loss  6.80 | ppl   896.42
INFO:run:| epoch   1 |   700/ 2323 batches | lr 0.00 | ms/batch 138.80 | loss  6.79 | ppl   884.93
INFO:run:| epoch   1 |   720/ 2323 batches | lr 0.00 | ms/batch 138.38 | loss  6.78 | ppl   882.02
INFO:run:| epoch   1 |   740/ 2323 batches | lr 0.00 | ms/batch 137.61 | loss  6.77 | ppl   872.28
INFO:run:| epoch   1 |   760/ 2323 batches | lr 0.00 | ms/batch 139.94 | loss  6.74 | ppl   845.29
INFO:run:| epoch   1 |   780/ 2323 batches | lr 0.00 | ms/batch 138.48 | loss  6.73 | ppl   835.11
INFO:run:| epoch   1 |   800/ 2323 batches | lr 0.00 | ms/batch 136.72 | loss  6.70 | ppl   811.81
INFO:run:| epoch   1 |   820/ 2323 batches | lr 0.00 | ms/batch 139.18 | loss  6.72 | ppl   825.71
INFO:run:| epoch   1 |   840/ 2323 batches | lr 0.00 | ms/batch 139.95 | loss  6.64 | ppl   764.78
INFO:run:| epoch   1 |   860/ 2323 batches | lr 0.00 | ms/batch 142.46 | loss  6.64 | ppl   768.56
INFO:run:| epoch   1 |   880/ 2323 batches | lr 0.00 | ms/batch 142.30 | loss  6.71 | ppl   819.48
INFO:run:| epoch   1 |   900/ 2323 batches | lr 0.00 | ms/batch 143.44 | loss  6.65 | ppl   771.61
INFO:run:| epoch   1 |   920/ 2323 batches | lr 0.00 | ms/batch 139.45 | loss  6.65 | ppl   771.91
INFO:run:| epoch   1 |   940/ 2323 batches | lr 0.00 | ms/batch 140.60 | loss  6.71 | ppl   819.16
INFO:run:| epoch   1 |   960/ 2323 batches | lr 0.00 | ms/batch 140.44 | loss  6.71 | ppl   821.28
INFO:run:| epoch   1 |   980/ 2323 batches | lr 0.00 | ms/batch 140.83 | loss  6.62 | ppl   748.92
INFO:run:| epoch   1 |  1000/ 2323 batches | lr 0.00 | ms/batch 142.96 | loss  6.57 | ppl   714.95
INFO:run:| epoch   1 |  1020/ 2323 batches | lr 0.00 | ms/batch 140.77 | loss  6.63 | ppl   758.59
INFO:run:| epoch   1 |  1040/ 2323 batches | lr 0.00 | ms/batch 141.28 | loss  6.70 | ppl   810.27
INFO:run:| epoch   1 |  1060/ 2323 batches | lr 0.00 | ms/batch 140.77 | loss  6.71 | ppl   820.25
INFO:run:| epoch   1 |  1080/ 2323 batches | lr 0.00 | ms/batch 141.13 | loss  6.64 | ppl   766.88
INFO:run:| epoch   1 |  1100/ 2323 batches | lr 0.00 | ms/batch 141.07 | loss  6.58 | ppl   721.21
INFO:run:| epoch   1 |  1120/ 2323 batches | lr 0.00 | ms/batch 144.36 | loss  6.60 | ppl   732.30
INFO:run:| epoch   1 |  1140/ 2323 batches | lr 0.00 | ms/batch 142.78 | loss  6.58 | ppl   718.96
INFO:run:| epoch   1 |  1160/ 2323 batches | lr 0.00 | ms/batch 144.39 | loss  6.60 | ppl   737.53
INFO:run:| epoch   1 |  1180/ 2323 batches | lr 0.00 | ms/batch 141.65 | loss  6.51 | ppl   672.29
INFO:run:| epoch   1 |  1200/ 2323 batches | lr 0.00 | ms/batch 141.82 | loss  6.62 | ppl   748.35
INFO:run:| epoch   1 |  1220/ 2323 batches | lr 0.00 | ms/batch 142.57 | loss  6.55 | ppl   696.95
INFO:run:| epoch   1 |  1240/ 2323 batches | lr 0.00 | ms/batch 144.22 | loss  6.62 | ppl   752.23
INFO:run:| epoch   1 |  1260/ 2323 batches | lr 0.00 | ms/batch 141.88 | loss  6.57 | ppl   715.05
INFO:run:| epoch   1 |  1280/ 2323 batches | lr 0.00 | ms/batch 141.40 | loss  6.52 | ppl   679.03
INFO:run:| epoch   1 |  1300/ 2323 batches | lr 0.00 | ms/batch 142.12 | loss  6.49 | ppl   659.47
INFO:run:| epoch   1 |  1320/ 2323 batches | lr 0.00 | ms/batch 142.18 | loss  6.57 | ppl   712.62
INFO:run:| epoch   1 |  1340/ 2323 batches | lr 0.00 | ms/batch 141.75 | loss  6.46 | ppl   636.74
INFO:run:| epoch   1 |  1360/ 2323 batches | lr 0.00 | ms/batch 142.77 | loss  6.52 | ppl   677.99
INFO:run:| epoch   1 |  1380/ 2323 batches | lr 0.00 | ms/batch 144.39 | loss  6.50 | ppl   667.34
INFO:run:| epoch   1 |  1400/ 2323 batches | lr 0.00 | ms/batch 143.13 | loss  6.55 | ppl   698.51
INFO:run:| epoch   1 |  1420/ 2323 batches | lr 0.00 | ms/batch 145.19 | loss  6.59 | ppl   729.75
INFO:run:| epoch   1 |  1440/ 2323 batches | lr 0.00 | ms/batch 142.02 | loss  6.48 | ppl   653.00
INFO:run:| epoch   1 |  1460/ 2323 batches | lr 0.00 | ms/batch 143.34 | loss  6.53 | ppl   687.98
INFO:run:| epoch   1 |  1480/ 2323 batches | lr 0.00 | ms/batch 143.33 | loss  6.60 | ppl   732.38
INFO:run:| epoch   1 |  1500/ 2323 batches | lr 0.00 | ms/batch 142.51 | loss  6.55 | ppl   700.49
INFO:run:| epoch   1 |  1520/ 2323 batches | lr 0.00 | ms/batch 142.87 | loss  6.58 | ppl   719.27
INFO:run:| epoch   1 |  1540/ 2323 batches | lr 0.00 | ms/batch 142.05 | loss  6.48 | ppl   650.75
INFO:run:| epoch   1 |  1560/ 2323 batches | lr 0.00 | ms/batch 142.29 | loss  6.57 | ppl   715.37
INFO:run:| epoch   1 |  1580/ 2323 batches | lr 0.00 | ms/batch 141.95 | loss  6.51 | ppl   669.18
INFO:run:| epoch   1 |  1600/ 2323 batches | lr 0.00 | ms/batch 141.40 | loss  6.60 | ppl   734.48
INFO:run:| epoch   1 |  1620/ 2323 batches | lr 0.00 | ms/batch 144.87 | loss  6.49 | ppl   660.09
INFO:run:| epoch   1 |  1640/ 2323 batches | lr 0.00 | ms/batch 143.86 | loss  6.60 | ppl   737.29
INFO:run:| epoch   1 |  1660/ 2323 batches | lr 0.00 | ms/batch 144.41 | loss  6.57 | ppl   714.01
INFO:run:| epoch   1 |  1680/ 2323 batches | lr 0.00 | ms/batch 144.58 | loss  6.58 | ppl   721.50
INFO:run:| epoch   1 |  1700/ 2323 batches | lr 0.00 | ms/batch 144.26 | loss  6.55 | ppl   698.24
INFO:run:| epoch   1 |  1720/ 2323 batches | lr 0.00 | ms/batch 142.97 | loss  6.59 | ppl   731.31
INFO:run:| epoch   1 |  1740/ 2323 batches | lr 0.00 | ms/batch 142.04 | loss  6.51 | ppl   668.67
INFO:run:| epoch   1 |  1760/ 2323 batches | lr 0.00 | ms/batch 143.08 | loss  6.60 | ppl   734.10
INFO:run:| epoch   1 |  1780/ 2323 batches | lr 0.00 | ms/batch 141.42 | loss  6.55 | ppl   702.27
INFO:run:| epoch   1 |  1800/ 2323 batches | lr 0.00 | ms/batch 142.25 | loss  6.56 | ppl   704.80
INFO:run:| epoch   1 |  1820/ 2323 batches | lr 0.00 | ms/batch 141.92 | loss  6.50 | ppl   664.73
INFO:run:| epoch   1 |  1840/ 2323 batches | lr 0.00 | ms/batch 141.90 | loss  6.51 | ppl   672.15
INFO:run:| epoch   1 |  1860/ 2323 batches | lr 0.00 | ms/batch 143.83 | loss  6.61 | ppl   740.96
INFO:run:| epoch   1 |  1880/ 2323 batches | lr 0.00 | ms/batch 144.68 | loss  6.47 | ppl   642.37
INFO:run:| epoch   1 |  1900/ 2323 batches | lr 0.00 | ms/batch 142.03 | loss  6.51 | ppl   672.48
INFO:run:| epoch   1 |  1920/ 2323 batches | lr 0.00 | ms/batch 144.96 | loss  6.53 | ppl   685.09
INFO:run:| epoch   1 |  1940/ 2323 batches | lr 0.00 | ms/batch 146.59 | loss  6.60 | ppl   735.73
INFO:run:| epoch   1 |  1960/ 2323 batches | lr 0.00 | ms/batch 142.82 | loss  6.62 | ppl   750.67
INFO:run:| epoch   1 |  1980/ 2323 batches | lr 0.00 | ms/batch 142.71 | loss  6.59 | ppl   729.21
INFO:run:| epoch   1 |  2000/ 2323 batches | lr 0.00 | ms/batch 142.68 | loss  6.62 | ppl   751.04
INFO:run:| epoch   1 |  2020/ 2323 batches | lr 0.00 | ms/batch 141.71 | loss  6.50 | ppl   663.65
INFO:run:| epoch   1 |  2040/ 2323 batches | lr 0.00 | ms/batch 142.75 | loss  6.53 | ppl   684.67
INFO:run:| epoch   1 |  2060/ 2323 batches | lr 0.00 | ms/batch 142.42 | loss  6.58 | ppl   720.35
INFO:run:| epoch   1 |  2080/ 2323 batches | lr 0.00 | ms/batch 142.68 | loss  6.51 | ppl   671.67
INFO:run:| epoch   1 |  2100/ 2323 batches | lr 0.00 | ms/batch 142.65 | loss  6.47 | ppl   642.89
INFO:run:| epoch   1 |  2120/ 2323 batches | lr 0.00 | ms/batch 145.11 | loss  6.47 | ppl   648.16
INFO:run:| epoch   1 |  2140/ 2323 batches | lr 0.00 | ms/batch 143.17 | loss  6.51 | ppl   668.77
INFO:run:| epoch   1 |  2160/ 2323 batches | lr 0.00 | ms/batch 142.94 | loss  6.54 | ppl   695.04
INFO:run:| epoch   1 |  2180/ 2323 batches | lr 0.00 | ms/batch 148.74 | loss  6.55 | ppl   695.79
INFO:run:| epoch   1 |  2200/ 2323 batches | lr 0.00 | ms/batch 143.30 | loss  6.47 | ppl   642.61
INFO:run:| epoch   1 |  2220/ 2323 batches | lr 0.00 | ms/batch 142.81 | loss  6.51 | ppl   669.86
INFO:run:| epoch   1 |  2240/ 2323 batches | lr 0.00 | ms/batch 142.32 | loss  6.54 | ppl   691.82
INFO:run:| epoch   1 |  2260/ 2323 batches | lr 0.00 | ms/batch 142.88 | loss  6.62 | ppl   749.68
INFO:run:| epoch   1 |  2280/ 2323 batches | lr 0.00 | ms/batch 141.67 | loss  6.61 | ppl   740.58
