INFO:run:CONFIGURATION: {
  "weight_decay": 0, 
  "nlayers": 1, 
  "clip": 0.5, 
  "emsize": 50, 
  "nhid": 50, 
  "batch_size": 20, 
  "results": "results/20170329-185950-02.txt", 
  "epochs": 20, 
  "logfile": "logs/20170329-185950-02.txt", 
  "seed": 1111, 
  "lr": 20, 
  "log_interval": 20, 
  "experiment_id": "20170329-185950-02", 
  "sequence_length": 20, 
  "model": "LSTM", 
  "save": "models/20170329-185950-02.pt", 
  "data": "./data/penn", 
  "momentum": 0.1
}
INFO:run:rng state: 
  87
   4
   0
 ⋮  
   0
   0
   0
[torch.ByteTensor of size 5048]

INFO:run:| epoch   1 |    20/ 2323 batches | lr 20.00 | ms/batch 96.59 | loss  8.17 | ppl  3542.94
INFO:run:| epoch   1 |    40/ 2323 batches | lr 20.00 | ms/batch 91.30 | loss  7.10 | ppl  1214.54
INFO:run:| epoch   1 |    60/ 2323 batches | lr 20.00 | ms/batch 91.28 | loss  6.82 | ppl   918.63
INFO:run:| epoch   1 |    80/ 2323 batches | lr 20.00 | ms/batch 91.91 | loss  6.71 | ppl   820.60
INFO:run:| epoch   1 |   100/ 2323 batches | lr 20.00 | ms/batch 90.94 | loss  6.52 | ppl   681.67
INFO:run:| epoch   1 |   120/ 2323 batches | lr 20.00 | ms/batch 92.82 | loss  6.33 | ppl   559.94
INFO:run:| epoch   1 |   140/ 2323 batches | lr 20.00 | ms/batch 91.14 | loss  6.30 | ppl   545.39
INFO:run:| epoch   1 |   160/ 2323 batches | lr 20.00 | ms/batch 92.32 | loss  6.15 | ppl   469.25
INFO:run:| epoch   1 |   180/ 2323 batches | lr 20.00 | ms/batch 91.77 | loss  6.01 | ppl   406.56
INFO:run:| epoch   1 |   200/ 2323 batches | lr 20.00 | ms/batch 91.18 | loss  6.09 | ppl   440.35
INFO:run:| epoch   1 |   220/ 2323 batches | lr 20.00 | ms/batch 92.56 | loss  6.00 | ppl   405.24
INFO:run:| epoch   1 |   240/ 2323 batches | lr 20.00 | ms/batch 91.39 | loss  6.04 | ppl   418.06
INFO:run:| epoch   1 |   260/ 2323 batches | lr 20.00 | ms/batch 91.72 | loss  6.04 | ppl   421.59
INFO:run:| epoch   1 |   280/ 2323 batches | lr 20.00 | ms/batch 91.76 | loss  5.96 | ppl   388.80
INFO:run:| epoch   1 |   300/ 2323 batches | lr 20.00 | ms/batch 92.71 | loss  6.03 | ppl   415.44
INFO:run:| epoch   1 |   320/ 2323 batches | lr 20.00 | ms/batch 91.69 | loss  5.98 | ppl   395.06
INFO:run:| epoch   1 |   340/ 2323 batches | lr 20.00 | ms/batch 91.80 | loss  5.91 | ppl   369.29
INFO:run:| epoch   1 |   360/ 2323 batches | lr 20.00 | ms/batch 91.92 | loss  5.81 | ppl   334.15
INFO:run:| epoch   1 |   380/ 2323 batches | lr 20.00 | ms/batch 92.52 | loss  5.85 | ppl   347.64
INFO:run:| epoch   1 |   400/ 2323 batches | lr 20.00 | ms/batch 92.54 | loss  5.81 | ppl   334.79
INFO:run:| epoch   1 |   420/ 2323 batches | lr 20.00 | ms/batch 91.53 | loss  5.73 | ppl   307.79
INFO:run:| epoch   1 |   440/ 2323 batches | lr 20.00 | ms/batch 91.59 | loss  5.79 | ppl   326.77
INFO:run:| epoch   1 |   460/ 2323 batches | lr 20.00 | ms/batch 91.51 | loss  5.81 | ppl   333.95
INFO:run:| epoch   1 |   480/ 2323 batches | lr 20.00 | ms/batch 91.64 | loss  5.85 | ppl   348.60
INFO:run:| epoch   1 |   500/ 2323 batches | lr 20.00 | ms/batch 91.46 | loss  5.74 | ppl   310.96
INFO:run:| epoch   1 |   520/ 2323 batches | lr 20.00 | ms/batch 91.62 | loss  5.65 | ppl   285.54
INFO:run:| epoch   1 |   540/ 2323 batches | lr 20.00 | ms/batch 92.44 | loss  5.61 | ppl   274.36
INFO:run:| epoch   1 |   560/ 2323 batches | lr 20.00 | ms/batch 91.99 | loss  5.45 | ppl   232.20
INFO:run:| epoch   1 |   580/ 2323 batches | lr 20.00 | ms/batch 92.25 | loss  5.61 | ppl   272.21
INFO:run:| epoch   1 |   600/ 2323 batches | lr 20.00 | ms/batch 91.58 | loss  5.82 | ppl   337.48
INFO:run:| epoch   1 |   620/ 2323 batches | lr 20.00 | ms/batch 91.80 | loss  5.87 | ppl   355.62
INFO:run:| epoch   1 |   640/ 2323 batches | lr 20.00 | ms/batch 91.95 | loss  5.48 | ppl   239.90
INFO:run:| epoch   1 |   660/ 2323 batches | lr 20.00 | ms/batch 91.74 | loss  5.58 | ppl   266.25
INFO:run:| epoch   1 |   680/ 2323 batches | lr 20.00 | ms/batch 91.57 | loss  5.55 | ppl   258.33
INFO:run:| epoch   1 |   700/ 2323 batches | lr 20.00 | ms/batch 91.18 | loss  5.64 | ppl   281.73
INFO:run:| epoch   1 |   720/ 2323 batches | lr 20.00 | ms/batch 91.65 | loss  5.53 | ppl   250.90
INFO:run:| epoch   1 |   740/ 2323 batches | lr 20.00 | ms/batch 92.07 | loss  5.65 | ppl   282.98
INFO:run:| epoch   1 |   760/ 2323 batches | lr 20.00 | ms/batch 92.09 | loss  5.57 | ppl   261.56
INFO:run:| epoch   1 |   780/ 2323 batches | lr 20.00 | ms/batch 92.20 | loss  5.51 | ppl   248.12
