INFO:run:CONFIGURATION: {
  "nlayers": 1, 
  "clip": 0.5, 
  "emsize": 50, 
  "nhid": 50, 
  "batch_size": 20, 
  "results": "results/20170327-095946-02.txt", 
  "epochs": 6, 
  "logfile": "logs/20170327-095946-02.txt", 
  "seed": 1111, 
  "lr": 20, 
  "log_interval": 20, 
  "experiment_id": "20170327-095946-02", 
  "sequence_length": 20, 
  "model": "RNN_TANH", 
  "save": "models/20170327-095946-02.pt", 
  "data": "./data/penn"
}
INFO:run:rng state: 
  87
   4
   0
 ⋮  
   0
   0
   0
[torch.ByteTensor of size 5048]

INFO:run:| epoch   1 |   940/ 2323 batches | lr 20.00 | ms/batch 92.00 | loss 19.17 | ppl 210546926.76
INFO:run:| epoch   1 |   960/ 2323 batches | lr 20.00 | ms/batch 88.53 | loss 19.20 | ppl 216921364.70
INFO:run:| epoch   1 |   980/ 2323 batches | lr 20.00 | ms/batch 85.45 | loss 19.28 | ppl 236023476.21
INFO:run:| epoch   1 |  1000/ 2323 batches | lr 20.00 | ms/batch 85.21 | loss 19.05 | ppl 186731590.78
INFO:run:| epoch   1 |  1020/ 2323 batches | lr 20.00 | ms/batch 88.41 | loss 16.71 | ppl 18099700.42
INFO:run:| epoch   1 |  1040/ 2323 batches | lr 20.00 | ms/batch 92.24 | loss 18.81 | ppl 147989604.28
INFO:run:| epoch   1 |  1060/ 2323 batches | lr 20.00 | ms/batch 93.20 | loss 19.99 | ppl 482542751.10
INFO:run:| epoch   1 |  1080/ 2323 batches | lr 20.00 | ms/batch 93.38 | loss 18.97 | ppl 172361780.57
INFO:run:| epoch   1 |  1100/ 2323 batches | lr 20.00 | ms/batch 93.47 | loss 20.70 | ppl 975074061.72
INFO:run:| epoch   1 |  1120/ 2323 batches | lr 20.00 | ms/batch 93.81 | loss 17.81 | ppl 54436684.29
INFO:run:| epoch   1 |  1140/ 2323 batches | lr 20.00 | ms/batch 92.11 | loss 18.93 | ppl 165700035.60
INFO:run:| epoch   1 |  1160/ 2323 batches | lr 20.00 | ms/batch 91.90 | loss 19.25 | ppl 228713980.65
INFO:run:| epoch   1 |  1180/ 2323 batches | lr 20.00 | ms/batch 92.34 | loss 17.35 | ppl 34267782.55
INFO:run:| epoch   1 |  1200/ 2323 batches | lr 20.00 | ms/batch 92.08 | loss 18.51 | ppl 109195977.57
INFO:run:| epoch   1 |  1220/ 2323 batches | lr 20.00 | ms/batch 92.39 | loss 19.36 | ppl 255552544.13
INFO:run:| epoch   1 |  1240/ 2323 batches | lr 20.00 | ms/batch 93.10 | loss 18.08 | ppl 70810566.99
INFO:run:| epoch   1 |  1260/ 2323 batches | lr 20.00 | ms/batch 91.89 | loss 16.44 | ppl 13774191.11
INFO:run:| epoch   1 |  1280/ 2323 batches | lr 20.00 | ms/batch 92.87 | loss 19.27 | ppl 234707235.09
INFO:run:| epoch   1 |  1300/ 2323 batches | lr 20.00 | ms/batch 93.58 | loss 20.17 | ppl 577705210.32
INFO:run:| epoch   1 |  1320/ 2323 batches | lr 20.00 | ms/batch 92.58 | loss 19.05 | ppl 187369495.99
INFO:run:| epoch   1 |  1340/ 2323 batches | lr 20.00 | ms/batch 92.20 | loss 18.74 | ppl 138026750.54
INFO:run:| epoch   1 |  1360/ 2323 batches | lr 20.00 | ms/batch 92.15 | loss 17.47 | ppl 38782284.73
INFO:run:| epoch   1 |  1380/ 2323 batches | lr 20.00 | ms/batch 91.92 | loss 19.60 | ppl 324223009.75
INFO:run:| epoch   1 |  1400/ 2323 batches | lr 20.00 | ms/batch 92.10 | loss 19.64 | ppl 337074288.21
INFO:run:| epoch   1 |  1420/ 2323 batches | lr 20.00 | ms/batch 93.69 | loss 18.34 | ppl 92198943.39
INFO:run:| epoch   1 |  1440/ 2323 batches | lr 20.00 | ms/batch 93.52 | loss 20.63 | ppl 913765111.19
