INFO:run:CONFIGURATION: {
  "nlayers": 1, 
  "clip": 0.5, 
  "emsize": 50, 
  "nhid": 50, 
  "batch_size": 20, 
  "results": "results/20170327-194608-00.txt", 
  "epochs": 20, 
  "logfile": "logs/20170327-194608-00.txt", 
  "seed": 1111, 
  "lr": 20, 
  "log_interval": 20, 
  "experiment_id": "20170327-194608-00", 
  "sequence_length": 20, 
  "model": "RNN_RELU", 
  "save": "models/20170327-194608-00.pt", 
  "data": "./data/penn"
}
INFO:run:rng state: 
  87
   4
   0
 ⋮  
   0
   0
   0
[torch.ByteTensor of size 5048]

INFO:run:| epoch   1 |   940/ 2323 batches | lr 20.00 | ms/batch 94.92 | loss  6.63 | ppl   758.53
INFO:run:| epoch   1 |   960/ 2323 batches | lr 20.00 | ms/batch 94.69 | loss  6.64 | ppl   764.65
INFO:run:| epoch   1 |   980/ 2323 batches | lr 20.00 | ms/batch 93.76 | loss  6.55 | ppl   699.90
INFO:run:| epoch   1 |  1000/ 2323 batches | lr 20.00 | ms/batch 92.99 | loss  6.50 | ppl   664.91
INFO:run:| epoch   1 |  1020/ 2323 batches | lr 20.00 | ms/batch 92.37 | loss  6.58 | ppl   717.13
INFO:run:| epoch   1 |  1040/ 2323 batches | lr 20.00 | ms/batch 95.04 | loss  6.64 | ppl   765.55
INFO:run:| epoch   1 |  1060/ 2323 batches | lr 20.00 | ms/batch 95.29 | loss  6.66 | ppl   777.80
INFO:run:| epoch   1 |  1080/ 2323 batches | lr 20.00 | ms/batch 97.11 | loss  6.59 | ppl   724.23
INFO:run:| epoch   1 |  1100/ 2323 batches | lr 20.00 | ms/batch 96.09 | loss  6.51 | ppl   671.94
INFO:run:| epoch   1 |  1120/ 2323 batches | lr 20.00 | ms/batch 95.73 | loss  6.54 | ppl   691.87
INFO:run:| epoch   1 |  1140/ 2323 batches | lr 20.00 | ms/batch 96.70 | loss  6.54 | ppl   694.54
INFO:run:| epoch   1 |  1160/ 2323 batches | lr 20.00 | ms/batch 96.32 | loss  6.57 | ppl   710.77
INFO:run:| epoch   1 |  1180/ 2323 batches | lr 20.00 | ms/batch 95.11 | loss  6.49 | ppl   656.33
INFO:run:| epoch   1 |  1200/ 2323 batches | lr 20.00 | ms/batch 95.18 | loss  6.59 | ppl   725.01
INFO:run:| epoch   1 |  1220/ 2323 batches | lr 20.00 | ms/batch 95.99 | loss  6.53 | ppl   684.53
INFO:run:| epoch   1 |  1240/ 2323 batches | lr 20.00 | ms/batch 94.36 | loss  6.60 | ppl   737.22
INFO:run:| epoch   1 |  1260/ 2323 batches | lr 20.00 | ms/batch 94.35 | loss  6.57 | ppl   712.77
INFO:run:| epoch   1 |  1280/ 2323 batches | lr 20.00 | ms/batch 96.23 | loss  6.51 | ppl   668.95
INFO:run:| epoch   1 |  1300/ 2323 batches | lr 20.00 | ms/batch 94.95 | loss  6.48 | ppl   654.97
INFO:run:| epoch   1 |  1320/ 2323 batches | lr 20.00 | ms/batch 95.43 | loss  6.56 | ppl   705.69
INFO:run:| epoch   1 |  1340/ 2323 batches | lr 20.00 | ms/batch 94.47 | loss  6.44 | ppl   628.02
INFO:run:| epoch   1 |  1360/ 2323 batches | lr 20.00 | ms/batch 94.50 | loss  6.52 | ppl   678.67
INFO:run:| epoch   1 |  1380/ 2323 batches | lr 20.00 | ms/batch 94.83 | loss  6.50 | ppl   664.19
INFO:run:| epoch   1 |  1400/ 2323 batches | lr 20.00 | ms/batch 94.41 | loss  6.53 | ppl   687.79
INFO:run:| epoch   1 |  1420/ 2323 batches | lr 20.00 | ms/batch 94.32 | loss  6.57 | ppl   714.01
INFO:run:| epoch   1 |  1440/ 2323 batches | lr 20.00 | ms/batch 94.20 | loss  6.48 | ppl   651.58
INFO:run:| epoch   1 |  1460/ 2323 batches | lr 20.00 | ms/batch 94.72 | loss  6.53 | ppl   685.64
INFO:run:| epoch   1 |  1480/ 2323 batches | lr 20.00 | ms/batch 93.46 | loss  6.59 | ppl   729.95
INFO:run:| epoch   1 |  1500/ 2323 batches | lr 20.00 | ms/batch 93.61 | loss  6.54 | ppl   693.55
INFO:run:| epoch   1 |  1520/ 2323 batches | lr 20.00 | ms/batch 94.09 | loss  6.57 | ppl   713.20
INFO:run:| epoch   1 |  1540/ 2323 batches | lr 20.00 | ms/batch 93.79 | loss  6.48 | ppl   649.66
INFO:run:| epoch   1 |  1560/ 2323 batches | lr 20.00 | ms/batch 94.44 | loss  6.56 | ppl   709.72
INFO:run:| epoch   1 |  1580/ 2323 batches | lr 20.00 | ms/batch 95.60 | loss  6.50 | ppl   665.18
INFO:run:| epoch   1 |  1600/ 2323 batches | lr 20.00 | ms/batch 93.38 | loss  6.58 | ppl   721.99
INFO:run:| epoch   1 |  1620/ 2323 batches | lr 20.00 | ms/batch 93.13 | loss  6.49 | ppl   655.47
INFO:run:| epoch   1 |  1640/ 2323 batches | lr 20.00 | ms/batch 93.99 | loss  6.58 | ppl   719.89
INFO:run:| epoch   1 |  1660/ 2323 batches | lr 20.00 | ms/batch 93.66 | loss  6.56 | ppl   707.42
INFO:run:| epoch   1 |  1680/ 2323 batches | lr 20.00 | ms/batch 96.41 | loss  6.58 | ppl   722.37
INFO:run:| epoch   1 |  1700/ 2323 batches | lr 20.00 | ms/batch 97.44 | loss  6.55 | ppl   699.17
INFO:run:| epoch   1 |  1720/ 2323 batches | lr 20.00 | ms/batch 96.61 | loss  6.59 | ppl   725.67
INFO:run:| epoch   1 |  1740/ 2323 batches | lr 20.00 | ms/batch 96.22 | loss  6.49 | ppl   661.74
INFO:run:| epoch   1 |  1760/ 2323 batches | lr 20.00 | ms/batch 97.33 | loss  6.60 | ppl   732.45
INFO:run:| epoch   1 |  1780/ 2323 batches | lr 20.00 | ms/batch 95.58 | loss  6.54 | ppl   694.00
INFO:run:| epoch   1 |  1800/ 2323 batches | lr 20.00 | ms/batch 97.40 | loss  6.55 | ppl   698.10
INFO:run:| epoch   1 |  1820/ 2323 batches | lr 20.00 | ms/batch 98.85 | loss  6.48 | ppl   653.48
INFO:run:| epoch   1 |  1840/ 2323 batches | lr 20.00 | ms/batch 98.39 | loss  6.50 | ppl   668.11
INFO:run:| epoch   1 |  1860/ 2323 batches | lr 20.00 | ms/batch 97.83 | loss  6.59 | ppl   728.48
INFO:run:| epoch   1 |  1880/ 2323 batches | lr 20.00 | ms/batch 97.35 | loss  6.46 | ppl   636.41
INFO:run:| epoch   1 |  1900/ 2323 batches | lr 20.00 | ms/batch 94.41 | loss  6.51 | ppl   670.40
INFO:run:| epoch   1 |  1920/ 2323 batches | lr 20.00 | ms/batch 93.89 | loss  6.52 | ppl   678.92
INFO:run:| epoch   1 |  1940/ 2323 batches | lr 20.00 | ms/batch 94.89 | loss  6.59 | ppl   729.02
INFO:run:| epoch   1 |  1960/ 2323 batches | lr 20.00 | ms/batch 95.22 | loss  6.60 | ppl   735.13
INFO:run:| epoch   1 |  1980/ 2323 batches | lr 20.00 | ms/batch 95.03 | loss  6.57 | ppl   716.36
INFO:run:| epoch   1 |  2000/ 2323 batches | lr 20.00 | ms/batch 96.97 | loss  6.62 | ppl   747.42
INFO:run:| epoch   1 |  2020/ 2323 batches | lr 20.00 | ms/batch 95.17 | loss  6.50 | ppl   661.90
INFO:run:| epoch   1 |  2040/ 2323 batches | lr 20.00 | ms/batch 94.79 | loss  6.52 | ppl   681.76
INFO:run:| epoch   1 |  2060/ 2323 batches | lr 20.00 | ms/batch 95.39 | loss  6.57 | ppl   715.45
INFO:run:| epoch   1 |  2080/ 2323 batches | lr 20.00 | ms/batch 95.36 | loss  6.50 | ppl   668.44
INFO:run:| epoch   1 |  2100/ 2323 batches | lr 20.00 | ms/batch 94.98 | loss  6.46 | ppl   638.46
INFO:run:| epoch   1 |  2120/ 2323 batches | lr 20.00 | ms/batch 95.61 | loss  6.46 | ppl   640.91
INFO:run:| epoch   1 |  2140/ 2323 batches | lr 20.00 | ms/batch 94.10 | loss  6.51 | ppl   671.30
INFO:run:| epoch   1 |  2160/ 2323 batches | lr 20.00 | ms/batch 93.93 | loss  6.54 | ppl   689.19
INFO:run:| epoch   1 |  2180/ 2323 batches | lr 20.00 | ms/batch 95.25 | loss  6.54 | ppl   692.40
INFO:run:| epoch   1 |  2200/ 2323 batches | lr 20.00 | ms/batch 94.67 | loss  6.45 | ppl   632.99
INFO:run:| epoch   1 |  2220/ 2323 batches | lr 20.00 | ms/batch 94.25 | loss  6.50 | ppl   664.86
INFO:run:| epoch   1 |  2240/ 2323 batches | lr 20.00 | ms/batch 95.36 | loss  6.53 | ppl   684.55
INFO:run:| epoch   1 |  2260/ 2323 batches | lr 20.00 | ms/batch 94.80 | loss  6.61 | ppl   741.09
INFO:run:| epoch   1 |  2280/ 2323 batches | lr 20.00 | ms/batch 92.13 | loss  6.59 | ppl   731.19
INFO:run:| epoch   1 |  2300/ 2323 batches | lr 20.00 | ms/batch 92.49 | loss  6.58 | ppl   720.99
INFO:run:| epoch   1 |  2320/ 2323 batches | lr 20.00 | ms/batch 97.20 | loss  6.54 | ppl   689.15
INFO:run:-----------------------------------------------------------------------------------------
INFO:run:| end of epoch   1 | time: 227.46s | valid loss  6.55 | valid ppl   699.24
INFO:run:-----------------------------------------------------------------------------------------
INFO:run:| epoch   2 |    20/ 2323 batches | lr 20.00 | ms/batch 110.77 | loss  6.94 | ppl  1032.81
INFO:run:| epoch   2 |    40/ 2323 batches | lr 20.00 | ms/batch 104.76 | loss  6.57 | ppl   711.03
INFO:run:| epoch   2 |    60/ 2323 batches | lr 20.00 | ms/batch 104.18 | loss  6.52 | ppl   681.79
INFO:run:| epoch   2 |    80/ 2323 batches | lr 20.00 | ms/batch 104.18 | loss  6.53 | ppl   686.66
INFO:run:| epoch   2 |   100/ 2323 batches | lr 20.00 | ms/batch 103.26 | loss  6.54 | ppl   694.48
INFO:run:| epoch   2 |   120/ 2323 batches | lr 20.00 | ms/batch 104.16 | loss  6.47 | ppl   643.77
INFO:run:| epoch   2 |   140/ 2323 batches | lr 20.00 | ms/batch 105.53 | loss  6.53 | ppl   686.09
INFO:run:| epoch   2 |   160/ 2323 batches | lr 20.00 | ms/batch 104.13 | loss  6.50 | ppl   665.14
INFO:run:| epoch   2 |   180/ 2323 batches | lr 20.00 | ms/batch 93.74 | loss  6.44 | ppl   629.47
INFO:run:| epoch   2 |   200/ 2323 batches | lr 20.00 | ms/batch 95.80 | loss  6.54 | ppl   694.37
INFO:run:| epoch   2 |   220/ 2323 batches | lr 20.00 | ms/batch 95.04 | loss  6.52 | ppl   676.81
INFO:run:| epoch   2 |   240/ 2323 batches | lr 20.00 | ms/batch 95.66 | loss  6.55 | ppl   698.30
INFO:run:| epoch   2 |   260/ 2323 batches | lr 20.00 | ms/batch 95.68 | loss  6.56 | ppl   704.74
INFO:run:| epoch   2 |   280/ 2323 batches | lr 20.00 | ms/batch 94.55 | loss  6.54 | ppl   692.33
INFO:run:| epoch   2 |   300/ 2323 batches | lr 20.00 | ms/batch 95.52 | loss  6.59 | ppl   725.90
INFO:run:| epoch   2 |   320/ 2323 batches | lr 20.00 | ms/batch 95.98 | loss  6.61 | ppl   741.04
INFO:run:| epoch   2 |   340/ 2323 batches | lr 20.00 | ms/batch 95.59 | loss  6.53 | ppl   688.06
INFO:run:| epoch   2 |   360/ 2323 batches | lr 20.00 | ms/batch 95.65 | loss  6.53 | ppl   688.10
INFO:run:| epoch   2 |   380/ 2323 batches | lr 20.00 | ms/batch 94.51 | loss  6.57 | ppl   713.57
INFO:run:| epoch   2 |   400/ 2323 batches | lr 20.00 | ms/batch 95.79 | loss  6.51 | ppl   674.52
INFO:run:| epoch   2 |   420/ 2323 batches | lr 20.00 | ms/batch 95.16 | loss  6.55 | ppl   701.18
INFO:run:| epoch   2 |   440/ 2323 batches | lr 20.00 | ms/batch 93.83 | loss  6.59 | ppl   725.51
INFO:run:| epoch   2 |   460/ 2323 batches | lr 20.00 | ms/batch 94.87 | loss  6.59 | ppl   728.83
INFO:run:| epoch   2 |   480/ 2323 batches | lr 20.00 | ms/batch 94.45 | loss  6.60 | ppl   736.88
INFO:run:| epoch   2 |   500/ 2323 batches | lr 20.00 | ms/batch 94.59 | loss  6.56 | ppl   708.58
INFO:run:| epoch   2 |   520/ 2323 batches | lr 20.00 | ms/batch 95.70 | loss  6.52 | ppl   681.46
